benchmark,cohort,arm,training_seed,case_id,task_id,status,success,steps,invalid_actions,environment_protocol,source,sha256
AndroidWorld,android_sigma_gesture_v1,SIGMA,11,androidworld:CameraTakeVideo:suite42:0:attempt202,CameraTakeVideo,complete,0,30,0,finger_swipe_v1,results/sigma/E06/memory_s11_qwen7b_gesture_v1/episodes/f045bfcf47a93e4e5208/episode.json,579fd862b4ee151ed0d06b77a08a6e5a25b401937778d1a48ddcae7b1eb69c22
AndroidWorld,android_sigma_gesture_v1,SIGMA,11,androidworld:CameraTakeVideo:suite42:0:attempt303,CameraTakeVideo,complete,0,30,0,finger_swipe_v1,results/sigma/E06/memory_s11_qwen7b_gesture_v1/episodes/8ac7cc0f2537b7d1c8c5/episode.json,3c08fc483371bcfea1836341e8b6e9580c41d6e787727185aa43dfeb973a9a79
AndroidWorld,android_sigma_gesture_v1,SIGMA,11,androidworld:ClockStopWatchPausedVerify:suite42:0:attempt101,ClockStopWatchPausedVerify,complete,0,30,0,finger_swipe_v1,results/sigma/E06/memory_s11_qwen7b_gesture_v1/episodes/084c9a23ec8ad51322da/episode.json,28d9f39dae6a53e87c06346d7b1207ea674236908243a3ffd9605cdc44c8b69c
AndroidWorld,android_sigma_gesture_v1,SIGMA,11,androidworld:ClockStopWatchPausedVerify:suite42:0:attempt202,ClockStopWatchPausedVerify,complete,0,30,0,finger_swipe_v1,results/sigma/E06/memory_s11_qwen7b_gesture_v1/episodes/db1098c1c8b357057002/episode.json,b47f0e3329c018afa9b3f247b6c098f73ffe5141bf65337ba36953d9b5ac73cc
AndroidWorld,android_sigma_gesture_v1,SIGMA,11,androidworld:ClockStopWatchPausedVerify:suite42:0:attempt303,ClockStopWatchPausedVerify,complete,0,30,0,finger_swipe_v1,results/sigma/E06/memory_s11_qwen7b_gesture_v1/episodes/26e32009dc39578df232/episode.json,e2e99a04bb95a7c3500e403ee5d99fc843159e684fed89d1f35aebaa6f5a2a12
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudio:suite42:0:attempt101,AudioRecorderRecordAudio,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/ef6124dd446566d3513d/episode.json,4d8d79b62a0a9db25722c08e9f661e4f73d082dd89c55d3b71c3512e363480a4
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudio:suite42:0:attempt202,AudioRecorderRecordAudio,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/e14afd349d20ca31e031/episode.json,6708db0bbfc300be0a2d46e9e871f3e6b9ff9ae5f80ca2b516443eed696d806a
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudio:suite42:0:attempt303,AudioRecorderRecordAudio,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/6fb190687b5bb91ec996/episode.json,8c8faf5adf0c535a6370b6f91e7c295d22312c108987999e7b57ae57027d847d
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudioWithFileName:suite42:0:attempt101,AudioRecorderRecordAudioWithFileName,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/7d858a5776d8e1cbad15/episode.json,a9b5553659fc0b43fd1b2c770d4eec488e5e306fa266aece876d29262bab7656
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudioWithFileName:suite42:0:attempt202,AudioRecorderRecordAudioWithFileName,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/4de8f3f1c79cafe1c8f1/episode.json,b554b7108e39b40f16d9adcd2e8ceeac2fcac48783e66063edae5c46ace417b8
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:AudioRecorderRecordAudioWithFileName:suite42:0:attempt303,AudioRecorderRecordAudioWithFileName,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/126a3afa753cdab88be2/episode.json,d7e3684147597259aa43ffe3465547b3c2d0a239fa8bc9dea01b6ec77e72d3d3
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserDraw:suite42:0:attempt101,BrowserDraw,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/acb013d1e7b906d66fdd/episode.json,f6e497a7c5878d6acdd31ea923a4ef6ce2e9abc6b50df1c2f085cf2f40070c29
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserDraw:suite42:0:attempt202,BrowserDraw,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/191bb36ad143f20fd206/episode.json,067860a66089edc43b077b5395432bcbb51bd3e80e677f30a0aec7a22e8a37c5
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserDraw:suite42:0:attempt303,BrowserDraw,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/d33e4ff799d8d420b62b/episode.json,3d57bb30dbf44d7901e3062b94291f23083be002790c8394718d0e11e0257378
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMaze:suite42:0:attempt101,BrowserMaze,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/6992e6d55873fc586183/episode.json,21460e5a0572051862066ed0a86641938bc5e4f81b080d1222e3d8f08ea4e614
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMaze:suite42:0:attempt202,BrowserMaze,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/2f3ddea8ffa2944670b6/episode.json,5ffc076f50164d89dd5d273e74f5fb0e16b9b55c19ce9878bbb000bdc1d4cae7
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMaze:suite42:0:attempt303,BrowserMaze,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/dda7ee929798895e87c7/episode.json,3d69bdee4f673cdcd3b2c77d494f8265da9a3408baae74ccb13e741bd2dcdfd6
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMultiply:suite42:0:attempt101,BrowserMultiply,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/f96fd85d4571595a27da/episode.json,6d2ccfe1bbea493c9bffedf3df54c14a1af6cffb812680394ce34bc6e1878dcf
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMultiply:suite42:0:attempt202,BrowserMultiply,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/350a27494e4ceb810a12/episode.json,a934a7602d7b4ad648bdf8c1a53e12cbaffb61f84e838d16e7706b954e60d451
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:BrowserMultiply:suite42:0:attempt303,BrowserMultiply,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/f1169087c0520497862a/episode.json,3e5497b478b9799aaac6a0665195882c0e9aa48403feffd95ad3b3ac122fd134
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:CameraTakePhoto:suite42:0:attempt101,CameraTakePhoto,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/4ed833a9a82c72ffe1f2/episode.json,5d90e6c74991985235ced62cd92a1f7f322015addda8ee1a2c4a90c9e2c47304
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:CameraTakePhoto:suite42:0:attempt202,CameraTakePhoto,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/ad46b68b4f302d38551b/episode.json,9e5649e6bc2dee3a5c8dafc0aa6e6ca16d1c2cb68f6f22768e5431a3c0a98868
AndroidWorld,android_sigma_legacy,SIGMA,11,androidworld:CameraTakePhoto:suite42:0:attempt303,CameraTakePhoto,complete,0,30,0,native_v1,results/sigma/E06/memory_s11_qwen7b_compat_v2/episodes/f91a36d47e23929509eb/episode.json,b00caa05a1ce6caba351d6dba1142722ce752c33b76c82fae5c62db04feb08c7
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:001-FindProductAndFilter:attempt101,001-FindProductAndFilter,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/001-FindProductAndFilter/sigma_history/attempt_1/final_decision.json,3ac7971c571cce65486f0ef89024fe40f1d040603a088f5c5627e93d7e9912e6
MemGUI,memgui_sigma_seed11,SIGMA,11,memgui:002-FindProductAndFilter:attempt101,002-FindProductAndFilter,raw_terminal_judgment,0,,,legacy_snapshot_clock,results/sigma/E05/memory_s11_qwen7b_compat_v3/attempt_101/official_logs/_memgui_eval/002-FindProductAndFilter/sigma_history/attempt_1/final_decision.json,ad713a64ad5831822d0f8f7e037c3fc534c77207f291e3e3aed33e2ef28f6f67
